Date,Open,Adj Close,Predicted,Difference,Decision
2018-12-31,3750.0,3102.091309,3104.7382803822265,645.2617196177735,Sell
2019-01-01,3750.0,3102.091309,3104.7382803822265,645.2617196177735,Sell
2019-01-02,3750.0,3085.546875,3088.504958961149,661.495041038851,Sell
2019-01-03,3710.0,3093.818848,3096.6213802600264,613.3786197399736,Sell
2019-01-04,3690.0,3069.002441,3072.2716375400714,617.7283624599286,Sell
2019-01-07,3760.0,3118.635742,3120.971600822109,639.0283991778911,Sell
2019-01-08,3770.0,3143.452148,3145.3213425608687,624.6786574391313,Sell
2019-01-09,3820.0,3085.546875,3088.504958961149,731.495041038851,Sell
2019-01-10,3760.0,3143.452148,3145.3213425608687,614.6786574391313,Sell
2019-01-11,3820.0,3193.086182,3194.0220250590855,625.9779749409145,Sell
2019-01-14,3810.0,3184.813721,3185.9051249368854,624.0948750631146,Sell
2019-01-15,3860.0,3250.991699,3250.8386480704667,609.1613519295333,Sell
2019-01-16,3940.0,3300.625,3299.538611352504,640.4613886474958,Sell
2019-01-17,3970.0,3300.625,3299.538611352504,670.4613886474958,Sell
2019-01-18,4010.0,3325.441895,3323.888832895782,686.1111671042181,Sell
2019-01-21,4040.0,3333.714111,3332.005492625125,707.994507374875,Sell
2019-01-22,4000.0,3308.897461,3307.6555114747043,692.3444885252957,Sell
2019-01-23,3950.0,3242.719238,3242.7217479482665,707.2782520517335,Sell
2019-01-24,3900.0,3193.086182,3194.0220250590855,705.9779749409145,Sell
2019-01-25,3880.0,3209.630371,3210.2551060873066,669.7448939126934,Sell
2019-01-28,3880.0,3126.907959,3129.0882615326477,750.9117384673523,Sell
2019-01-29,3780.0,3176.541504,3177.788464226346,602.2115357736538,Sell
2019-01-30,3850.0,3193.086182,3194.0220250590855,655.9779749409145,Sell
2019-01-31,3900.0,3226.175049,3226.4886669200455,673.5113330799545,Sell
2019-02-01,3910.0,3201.35791,3202.138205965107,707.8617940348931,Sell
2019-02-04,3890.0,3126.907959,3129.0882615326477,760.9117384673523,Sell
2019-02-05,3780.0,3126.907959,3129.0882615326477,650.9117384673523,Sell
2019-02-06,3820.0,3193.086182,3194.0220250590855,625.9779749409145,Sell
2019-02-07,3890.0,3193.086182,3194.0220250590855,695.9779749409145,Sell
2019-02-08,3810.0,3184.813721,3185.9051249368854,624.0948750631146,Sell
2019-02-11,3870.0,3250.991699,3250.8386480704667,619.1613519295333,Sell
2019-02-12,3900.0,3159.99707,3161.5551428052686,738.4448571947314,Sell
2019-02-13,3840.0,3135.180176,3137.2049222431865,702.7950777568135,Sell
2019-02-14,3790.0,3093.818848,3096.6213802600264,693.3786197399736,Sell
2019-02-15,3770.0,3135.180176,3137.2049222431865,632.7950777568135,Sell
2019-02-18,3830.0,3226.175049,3226.4886669200455,603.5113330799545,Sell
2019-02-19,3930.0,3242.719238,3242.7217479482665,687.2782520517335,Sell
2019-02-20,3940.0,3201.35791,3202.138205965107,737.8617940348931,Sell
2019-02-21,3870.0,3201.35791,3202.138205965107,667.8617940348931,Sell
2019-02-22,3870.0,3176.541504,3177.788464226346,692.2115357736538,Sell
2019-02-25,3900.0,3234.446777,3234.604847826067,665.3951521739332,Sell
2019-02-26,3920.0,3250.991699,3250.8386480704667,669.1613519295333,Sell
2019-02-27,3900.0,3234.446777,3234.604847826067,665.3951521739332,Sell
2019-02-28,3880.0,3193.086182,3194.0220250590855,685.9779749409145,Sell
2019-03-01,3890.0,3234.446777,3234.604847826067,655.3951521739332,Sell
2019-03-04,3910.0,3184.813721,3185.9051249368854,724.0948750631146,Sell
